,0
campaign,2.552441731409545
pdays,962.3524556048835
previous,0.17303690344062153
emp.var.rate,0.07827760821309655
cons.price.idx,93.57436646781355
cons.conf.idx,-40.50481409544951
nr.employed,5166.821458795783
age,40.02358490566038
euribor3m,3.616491675915649
job_admin.,0.2531562153163152
job_blue-collar,0.22308546059933407
job_entrepreneur,0.03617508324084351
job_housemaid,0.025180355160932297
job_management,0.07245421753607104
job_retired,0.0417591564927858
job_self-employed,0.03405937846836848
job_services,0.09694089900110987
job_student,0.021573251942286348
job_technician,0.16363762486126526
job_unemployed,0.024070477247502775
job_unknown,0.007907880133185349
marital_divorced,0.11188956714761376
marital_married,0.6030799112097669
marital_single,0.28312291897891234
marital_unknown,0.0019076026637069921
education_basic.4y,0.09895255271920089
education_basic.6y,0.0556673140954495
education_basic.9y,0.14532463928967815
education_high.school,0.2320338512763596
education_illiterate,0.00048557158712541623
education_professional.course,0.12749722530521643
education_university.degree,0.29710044395116536
education_unknown,0.042938401775804665
default_no,0.7919325749167592
default_unknown,0.2079633740288568
default_yes,0.00010405105438401775
housing_no,0.4512000554938957
housing_unknown,0.02400110987791343
housing_yes,0.5247988346281909
loan_no,0.82467397336293
loan_unknown,0.02400110987791343
loan_yes,0.1513249167591565
contact_cellular,0.6337402885682575
contact_telephone,0.3662597114317425
month_apr,0.06426886792452831
month_aug,0.1496947835738069
month_dec,0.004335460599334073
month_jul,0.17355715871254163
month_jun,0.12822558268590456
month_mar,0.013145116537180911
month_may,0.33518312985571586
month_nov,0.10006243063263041
month_oct,0.01716842397336293
month_sep,0.01435904550499445
day_of_week_fri,0.19089900110987792
day_of_week_mon,0.20543146503884574
day_of_week_thu,0.21059933407325193
day_of_week_tue,0.1962056048834628
day_of_week_wed,0.1968645948945616
poutcome_failure,0.10287180910099888
poutcome_nonexistent,0.8635890677025527
poutcome_success,0.03353912319644839
